Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
"1910 Catawba Valley Blvd SE, Family Video",CATAWBA,HICKORY,Target Hickory T-1181,NC,28602,Licensed
"2101 N. Main Street, Suite 103",GUILFORD,HIGH POINT,"High Point, NC",NC,27262,Company Owned
5th Street,GUILFORD,HIGH POINT,High Point University-Cottrell Hall,NC,27262,Licensed
265 Eastchester Dr,GUILFORD,HIGH POINT,Harris Teeter - High Point #341,NC,27262,Licensed
3875 John Gordon Lane,GUILFORD,HIGH POINT,Shoppes at Deep River,NC,27265,Company Owned
5277 Sunset Lake Rd,WAKE,HOLLY SPRINGS,Harris Teeter-Holly Springs #118,NC,27540,Licensed
185 Grand Hill Place,WAKE,HOLLY SPRINGS,Hwy 55 & New Hill Road,NC,27540,Company Owned
100 Grand Hill Place,WAKE,HOLLY SPRINGS,Target Holly Springs T-2785,NC,27540,Licensed
"7715 Regency Lake Dr, Rosedale Commons",MECKLENBURG,HUNTERSVILLE,Teeter-Huntersville #272,NC,28078,Licensed
"9832 Gilead Road, Space D101, Birkdale Village",MECKLENBURG,HUNTERSVILLE,Rosedale,NC,28078,Company Owned
16846B Birkdale Commons Pkwy,MECKLENBURG,HUNTERSVILLE,Birkdale,NC,28078,Company Owned
9801 Sam Furr Rd,MECKLENBURG,HUNTERSVILLE,Target Huntersville T-966,NC,28078,Licensed
"9932 Knockando Lane, Sun Valley Shopping Center",MECKLENBURG,HUNTERSVILLE,Sam Furr Rd & Hwy 115,NC,28078,Company Owned
"6701 Old Monroe Rd, Suite A",UNION,INDIAN TRAIL,Sun Valley,NC,28079,Company Owned
1395D Western Blvd,ONSLOW,JACKSONVILLE,Target Jacksonville T-1226,NC,28546,Licensed
"1654 Western Boulevard, Lot 2, Jacksonville Mall",ONSLOW,JACKSONVILLE,Western & Gateway,NC,28546,Company Owned
370 Western Boulevard,ONSLOW,JACKSONVILLE,Jacksonville,NC,28546,Company Owned
5635 Riverdale Dr,GUILFORD,JAMESTOWN,Furnitureland South,NC,27282,Licensed
1024 S Main St,FORSYTH,KERNERSVILLE,Target Kernersville T-2134,NC,27284,Licensed
"1020 S. Main Street, 1A",FORSYTH,KERNERSVILLE,1020 S. Main Street,NC,27284,Company Owned
971 S Main St,FORSYTH,KERNERSVILLE,Harris Teeter-Kernersville #250,NC,27284,Licensed
2012 South Croatan Highway,DARE,KILL DEVIL HILLS,Harris Teeter Kill Devils Hills # 1,NC,27948,Licensed
"2111 Shelby Rd, Marketplace at Southern Shores",CLEVELAND,KINGS MOUNTAIN,Ingles Kings Mountain # 147,NC,28086,Licensed
5597-A North Croatan Highway,DARE,KITTY HAWK,Kitty Hawk,NC,27949,Company Owned
1000 Shoppes at Midway Dr,WAKE,KNIGHTDALE,Target Knightdale T-2111,NC,27545,Licensed
212 Hinton Oaks Boulevard,WAKE,KNIGHTDALE,Knightdale,NC,27545,Company Owned
2021 Olde Regent Way,BRUNSWICK,LELAND,Harris Teeter - Leland #225,NC,28451,Licensed
2130 E Main St,LINCOLN,LINCOLNTON,Ingles Lincolnton #148,NC,28092,Licensed
5084 Kahn Drive,ROBESON,LUMBERTON,I-95 & Fayetteville Rd - Lumberton,NC,28358,Company Owned
1900 Matthews Township Pkwy,MECKLENBURG,MATTHEWS,Target Charlotte SE T-918,NC,28105,Licensed
1811 Matthews Township Pkwy,MECKLENBURG,MATTHEWS,Harris Teeter-Matthews #157,NC,28105,Licensed
"2233 Matthews Township Parkway, Suite A",MECKLENBURG,MATTHEWS,Sycamore Commons,NC,28105,Company Owned
13639 Providence Rd,UNION,MATTHEWS,Harris Teeter - Matthews #343,NC,28104,Licensed
"6350 Weddington Monroe Rd, Independence Mall",UNION,MATTHEWS,Target Wesley Chapel T-2395,NC,28104,Licensed
3890 Brundage Lane,ALAMANCE,MEBANE,Mebane Oaks Rd & I-85,NC,27302,Company Owned
3338 Boylston Hwy,HENDERSON,MILLS RIVER,Ingles Mills River # 133,NC,28759,Licensed
7036 Brighton Park Dr,MECKLENBURG,CHARLOTTE,Harris Teeter Mint Hill # 474,NC,28227,Licensed
2937 Monroe Way,UNION,MONROE,Hwy 74 & Windmere - Monroe,NC,28110,Company Owned
2901 W Hwy 74,UNION,MONROE,Target Monroe  T-2074,NC,28110,Licensed
"118 Argus Lane, Mount Mourne Springs",IREDELL,MOORESVILLE,Harris Teeter - Mooresville #274,NC,28117,Licensed
235 Medical Park Road,IREDELL,MOORESVILLE,Mount Mourne,NC,28117,Company Owned
134 Town Center Drive,IREDELL,MOORESVILLE,Harris Teeter-Mooresville #99,NC,28117,Licensed
"489 River Hwy, Suite A",IREDELL,MOORESVILLE,River Highway & Rolling Hill Road,NC,28117,Company Owned
"594 River Hwy, Crystal Coast Plaza",IREDELL,MOORESVILLE,Super Target Mooresville ST-1505,NC,28117,Licensed
"5186 Hwy 70, Unit A",CARTERET,MOREHEAD CITY,"Morehead City, NC",NC,28557,Company Owned
114 Carbon City Rd,BURKE,MORGANTON,Ingles-Morganton #120,NC,28655,Licensed
"3001 Market Center Dr, A",WAKE,MORRISVILLE,Target Morrisville T-2721,NC,27560,Licensed
"3037 Village Market Place, 190, 919-",WAKE,MORRISVILLE,Park West Village,NC,27560,Company Owned
"2400 John Brantley Blvd, Davis Commons",WAKE,MORRISVILLE,RDU T1 Post-Security,NC,27560,Licensed
3608-400 Davis Drive,WAKE,MORRISVILLE,Grace Park,NC,27560,Company Owned
4093 Davis Drive,WAKE,MORRISVILLE,Harris Teeter @ Morrisville # 104,NC,27560,Licensed
2400 John Brantley Blvd,WAKE,MORRISVILLE,RDU - T2 Temp,NC,27560,Licensed
2400 W Terminal Blvd,WAKE,MORRISVILLE,RDU T1 Baggage Claim,NC,27560,Licensed
2060 Hwy 19,CHEROKEE,MURPHY,Ingles Murphy - #25,NC,28906,Licensed
777 Casino Parkway,CHEROKEE,MURPHY,Cherokee River Valley Hotel and Cas,NC,28906,Licensed
3410 Dr Martin Luther King Blvd,CRAVEN,NEW BERN,Target New Bern T-1015,NC,28562,Licensed
3182 Martin Luther King Jr Blvd,CRAVEN,NEW BERN,New Bern Mall,NC,28562,Company Owned
2019 S Glenburnie Road,CRAVEN,NEW BERN,Harris Teeter - New Bern #221,NC,28562,Licensed
"Hwy. 70 & Thurmann St., Northlake Mall",CRAVEN,NEW BERN,Harris Teeter New Bern # 139,NC,28562,Licensed
1 University Rd,ROBESON,PEMBROKE,UNC Pembroke,NC,28372,Licensed
"305 Ivey Ln, Carolina Place",MOORE,PINEHURST,Harris Teeter Pinehurst # 80,NC,28374,Licensed
"7498 Creedmor Road, Crabtree Valley Mall",WAKE,RALEIGH,Stonehenge,NC,27613,Company Owned
"4325 Glenwood Ave., #1068",WAKE,RALEIGH,Teavana - Crabtree Valley Mall,NC,27612,Company Owned
"2051 W Millbrook Rd, North Hills Mall",WAKE,RALEIGH,Harris Teeter - Raleigh #319,NC,27612,Licensed
3101-305 Edwards Mill Road,WAKE,RALEIGH,Old Raleigh Village,NC,27612,Company Owned
"6282 Glenwood Avenue, Alexander Place",WAKE,RALEIGH,Pleasant Valley Promenade,NC,27612,Company Owned
"4325 Glenwood Avenue, 2119",WAKE,RALEIGH,Crabtree,NC,27612,Company Owned
5100 Capital Blvd,WAKE,RALEIGH,Capital & Spring Forest,NC,27616,Company Owned
"5959 Triangle Town Boulevard, Unit CL1136",WAKE,RALEIGH,Triangle Towne Mall,NC,27616,Company Owned
7900 Old Wake Forest Rd,WAKE,RALEIGH,Super Target Raleigh ST-1826,NC,27616,Licensed
"5959 Triangle Town Blvd., #2080",WAKE,RALEIGH,Teavana - Triangle Town Center,NC,27616,Company Owned
"500 Fayetteville St. Mall, Triangle Town Center",WAKE,RALEIGH,Marriott Downtown Raleigh,NC,27601,Licensed
609 W Peace St,WAKE,RALEIGH,Glenwood & Peace,NC,27605,Company Owned
500 Oberlin Road,WAKE,RALEIGH,Cameron Village - HT,NC,27605,Company Owned
"6176 Falls of Neuse Road, LL01A, Falls Pointe Shopping Center",WAKE,RALEIGH,Falls of Neuse @ Spring Forest Rd.,NC,27609,Company Owned
"4421 Six Forks Road, 116, Cameron Village Shopping Center",WAKE,RALEIGH,North Hills Plaza,NC,27609,Company Owned
"4160 Main Street, Suite 105",WAKE,RALEIGH,North Hills Center,NC,27609,Company Owned
4191 The Circle at N Hills St.,WAKE,RALEIGH,Target Raleigh  Central T-1892,NC,27609,Licensed
"9630 Falls of the Neuse Road, 101, North Hills Plaza",WAKE,RALEIGH,Village at Falls Pointe,NC,27615,Company Owned
"9441 Strickland Road, Unit R06, Capital Boulevard Shoppes",WAKE,RALEIGH,Six Forks & Strickland,NC,27615,Company Owned
1025 Airside Dr,WAKE,RALEIGH,RDU Terminal C Presecurity,NC,27623,Licensed
"1025 Airside Dr, Triangle Town Center",WAKE,RALEIGH,RDU Terminal C Central Atrium,NC,27623,Licensed
"7854 Alexander Promenade Pl., Bldg. H, Ste. 1, Lake Boone Shopping Center",WAKE,RALEIGH,Alexander Place,NC,27617,Company Owned
3800 Lake Boone Trail,WAKE,RALEIGH,Lake Boone Trail,NC,27607,Company Owned
1610 Cates Ave,WAKE,RALEIGH,Talley Student Center,NC,27607,Licensed
"10760 Wakefield Commons Dr., Ste. 109, New Bern Commons",WAKE,RALEIGH,Wakefield Commons,NC,27614,Company Owned
4421 New Bern Avenue,WAKE,RALEIGH,New Bern Commons,NC,27610,Company Owned
"3023 Capital Blvd., Premier Landing Shopping Center",WAKE,RALEIGH,Capital Blvd.,NC,27604,Company Owned
298 Premier Blvd.,HALIFAX,ROANOKE RAPIDS,Roanoke Rapids,NC,27870,Company Owned
"731 Sutters Creek Blvd, Towne Creek Commons",NASH,ROCKY MOUNT,Target Rocky Mount T-962,NC,27804,Licensed
916 East Innes Street,ROWAN,SALISBURY,Towne Creek Commons,NC,28144,Company Owned
2905 Horner Boulevard,LEE,SANFORD,S. Horner Blvd & Rosser Rd.,NC,27332,Company Owned
1650 W Dixon Blvd,CLEVELAND,SHELBY,Ingles Shelby 12,NC,28152,Licensed
"110 S. Equity Drive, Statesville",JOHNSTON,SMITHFIELD,Hwy 70 & Smithfield Crossing,NC,27577,Company Owned
1501 East Broad Street,IREDELL,STATESVILLE,Statesville,NC,28625,Company Owned
2299 US Hwy 70,BUNCOMBE,SWANNANOA,Ingles Swannanoa # 34,NC,28778,Licensed
3638 Rogers Rd,WAKE,WAKE FOREST,Harris Teeter Wake Forest # 43,NC,27587,Licensed
12000 Retail Dr,WAKE,WAKE FOREST,Super Target Wake Forest ST-1504,NC,27587,Licensed
"9700 Rea Rd, Ste A",UNION,WAXHAW,Tom Short Rd & Rea Rd,NC,28173,Company Owned
8157 Kesington Drive,UNION,WAXHAW,Harris Teeter-Waxhaw #182,NC,28173,Licensed
201 Barber Blvd,HAYWOOD,WAYNESVILLE,Ingles-Waynesville #23,NC,28786,Licensed
140 Weaver Blvd,BUNCOMBE,WEAVERVILLE,Ingles - Weaverville #180,NC,28787,Licensed
3502 Oleander Drive,NEW HANOVER,WILMINGTON,Oleander and Independence,NC,28403,Company Owned
"820 S College Rd, Landfall Shopping Center",NEW HANOVER,WILMINGTON,Harris Teeter - Wilmington #158,NC,28403,Licensed
"1705 Eastwood Rd, Ste 5E2",NEW HANOVER,WILMINGTON,Landfall,NC,28403,Company Owned
1940 Eastwood Rd,NEW HANOVER,WILMINGTON,Harris Teeter-Wilmington # 301,NC,28403,Licensed
"311 S College Dr, Ste 100",NEW HANOVER,WILMINGTON,S College Dr & New Centre Dr,NC,28403,Company Owned
2800 S College Rd,NEW HANOVER,WILMINGTON,Harris Teeter - Wilmington #441,NC,28412,Licensed
"5920 Carolina Beach Road, Best Buy",NEW HANOVER,WILMINGTON,Harris Teeter-Wilmington # 96,NC,28412,Licensed
6805 Parker Farm Rd,NEW HANOVER,WILMINGTON,Harris Teeter-Wilmington #210,NC,28405,Licensed
1005 International Drive,NEW HANOVER,WILMINGTON,Mayfaire Towne Centre,NC,28405,Company Owned
"3401 Raleigh Rd, Suite 101",WILSON,WILSON,"Wilson, NC",NC,27896,Company Owned
3401 Raleigh Rd Pkwy W,WILSON,WILSON,Target Wilson T-2168,NC,27896,Licensed
2281 Cloverdale Ave,FORSYTH,WINSTON SALEM,Harris Teeter Winston Salem 216,NC,27103,Licensed
"3320 Silas Creek Pkwy, #136, DBA Fazolis",FORSYTH,WINSTON SALEM,Teavana - Hanes Mall,NC,27103,Company Owned
"263 Harvey St, Hanes Mall",FORSYTH,WINSTON SALEM,Stratford Road & Ricks Drive,NC,27103,Company Owned
"3320  Silas Creek Parkway, PK44",FORSYTH,WINSTON SALEM,Hanes Mall Kiosk,NC,27103,Company Owned
"605 Jonestown Road, Hanes Mall",FORSYTH,WINSTON SALEM,Jonestown Rd.,NC,27103,Company Owned
2015 Frontis Plaza Boulevard,FORSYTH,WINSTON SALEM,Hanes Mall Blvd.,NC,27103,Company Owned
"110 Oakwood Drive, Space U122, N/A",FORSYTH,WINSTON SALEM,Stratford Road,NC,27103,Company Owned
1 Medical Center Blvd,FORSYTH,WINSTON SALEM,Wake Forest Unv Bap Med - Winst-Sal,NC,27103,Licensed
"1834 Wake Forest Rd, Hanes Mall",FORSYTH,WINSTON SALEM,Wake Forest University North Campus,NC,27104,Licensed
5980 University Parkway,FORSYTH,WINSTON SALEM,University Parkway,NC,27105,Company Owned
5420 University Pkwy,FORSYTH,WINSTON SALEM,Target Winston-Salem North T-1077,NC,27105,Licensed
2835 Reynolda Rd,FORSYTH,WINSTON SALEM,Harris Teeter Winston Salem # 346,NC,27106,Licensed
3327 Robinhood Road,FORSYTH,WINSTON SALEM,Mt. Tabor Place,NC,27106,Company Owned
2898 Reynolda Road,FORSYTH,WINSTON SALEM,Reynolda Road,NC,27106,Company Owned
1834 Wake Forest Rd,FORSYTH,WINSTON SALEM,Wake Forest University Z. Smith Rey,NC,27109,Licensed
,DAVIE,ADVANCE,,NC,27006,
,HERTFORD,AHOSKIE,,NC,27910,
,ALAMANCE,ALAMANCE,,NC,27201,
,STANLY,ALBEMARLE,,NC,28001,
,STANLY,ALBEMARLE,,NC,28002,
,DUPLIN,ALBERTSON,,NC,28508,
,BUNCOMBE,ALEXANDER,,NC,28701,
,GASTON,ALEXIS,,NC,28006,
,PAMLICO,ALLIANCE,,NC,28509,
,SWAIN,ALMOND,,NC,28702,
,ALAMANCE,ALTAMAHAW,,NC,27202,
,CHEROKEE,ANDREWS,,NC,28901,
,HARNETT,ANGIER,,NC,27501,
,ANSON,ANSONVILLE,,NC,28007,
,WAKE,APEX,,NC,27539,
,PAMLICO,ARAPAHOE,,NC,28510,
,SURRY,ARARAT,,NC,27007,
,BRUNSWICK,ASH,,NC,28420,
,RANDOLPH,ASHEBORO,,NC,27203,
,RANDOLPH,ASHEBORO,,NC,27204,
,RANDOLPH,ASHEBORO,,NC,27205,
,BUNCOMBE,ASHEVILLE,,NC,28802,
,BUNCOMBE,ASHEVILLE,,NC,28810,
,BUNCOMBE,ASHEVILLE,,NC,28813,
,BUNCOMBE,ASHEVILLE,,NC,28814,
,BUNCOMBE,ASHEVILLE,,NC,28815,
,BUNCOMBE,ASHEVILLE,,NC,28816,
,PENDER,ATKINSON,,NC,28421,
,CARTERET,ATLANTIC,,NC,28511,
,CARTERET,ATLANTIC BEACH,,NC,28512,
,BERTIE,AULANDER,,NC,27805,
,BEAUFORT,AURORA,,NC,27806,
,SAMPSON,AUTRYVILLE,,NC,28318,
,DARE,AVON,,NC,27915,
,PITT,AYDEN,,NC,28513,
,CURRITUCK,AYDLETT,,NC,27916,
,STANLY,BADIN,,NC,28009,
,DURHAM,BAHAMA,,NC,27503,
,NASH,BAILEY,,NC,27807,
,MITCHELL,BAKERSVILLE,,NC,28705,
,JACKSON,BALSAM,,NC,28707,
,TRANSYLVANIA,BALSAM GROVE,,NC,28708,
,AVERY,BANNER ELK,,NC,28604,
,CURRITUCK,BARCO,,NC,27917,
,IREDELL,BARIUM SPRINGS,,NC,28010,
,BUNCOMBE,BARNARDSVILLE,,NC,28709,
,ROBESON,BARNESVILLE,,NC,28319,
,HENDERSON,BAT CAVE,,NC,28710,
,BEAUFORT,BATH,,NC,27808,
,EDGECOMBE,BATTLEBORO,,NC,27809,
,PAMLICO,BAYBORO,,NC,28515,
,CHATHAM,BEAR CREEK,,NC,27207,
,CARTERET,BEAUFORT,,NC,28516,
,FORSYTH,BELEWS CREEK,,NC,27009,
,BEAUFORT,BELHAVEN,,NC,27810,
,PITT,BELLARTHUR,,NC,27811,
,GASTON,BELMONT,,NC,28012,
,PERQUIMANS,BELVIDERE,,NC,27919,
,CHATHAM,BENNETT,,NC,27208,
,JOHNSTON,BENSON,,NC,27504,
,GASTON,BESSEMER CITY,,NC,28016,
,FORSYTH,BETHANIA,,NC,27010,
,PITT,BETHEL,,NC,27812,
,DUPLIN,BEULAVILLE,,NC,28518,
,MONTGOMERY,BISCOE,,NC,27209,
,WILSON,BLACK CREEK,,NC,27813,
,BLADEN,BLADENBORO,,NC,28320,
,CASWELL,BLANCH,,NC,27212,
,BEAUFORT,BLOUNTS CREEK,,NC,27814,
,WATAUGA,BLOWING ROCK,,NC,28605,
,CLEVELAND,BOILING SPRINGS,,NC,28017,
,BRUNSWICK,BOLIVIA,,NC,28422,
,COLUMBUS,BOLTON,,NC,28423,
,CHATHAM,BONLEE,,NC,27213,
,WILKES,BOOMER,,NC,28606,
,WATAUGA,BOONE,,NC,28608,
,YADKIN,BOONVILLE,,NC,27011,
,RUTHERFORD,BOSTIC,,NC,28018,
,CLAY,BRASSTOWN,,NC,28902,
,CRAVEN,BRIDGETON,,NC,28519,
,LEE,BROADWAY,,NC,27505,
,GUILFORD,BROWNS SUMMIT,,NC,27214,
,COLUMBUS,BRUNSWICK,,NC,28424,
,SWAIN,BRYSON CITY,,NC,28713,
,GRANVILLE,BULLOCK,,NC,27507,
,FRANKLIN,BUNN,,NC,27508,
,HARNETT,BUNNLEVEL,,NC,28323,
,PENDER,BURGAW,,NC,28425,
,ALAMANCE,BURLINGTON,,NC,27216,
,ALAMANCE,BURLINGTON,,NC,27217,
,GRANVILLE,BUTNER,,NC,27509,
,DARE,BUXTON,,NC,27920,
,BRUNSWICK,CALABASH,,NC,28467,
,DUPLIN,CALYPSO,,NC,28325,
,CAMDEN,CAMDEN,,NC,27921,
,HARNETT,CAMERON,,NC,28326,
,ONSLOW,CAMP LEJEUNE,,NC,28542,
,MONTGOMERY,CANDOR,,NC,27229,
,RUTHERFORD,CAROLEEN,,NC,28019,
,NEW HANOVER,CAROLINA BEACH,,NC,28428,
,ORANGE,CARRBORO,,NC,27510,
,MOORE,CARTHAGE,,NC,28327,
,WAKE,CARY,,NC,27512,
,CLEVELAND,CASAR,,NC,28020,
,NASH,CASTALIA,,NC,27816,
,NEW HANOVER,CASTLE HAYNE,,NC,28429,
,CATAWBA,CATAWBA,,NC,28609,
,RANDOLPH,CEDAR FALLS,,NC,27230,
,ORANGE,CEDAR GROVE,,NC,27231,
,CARTERET,CEDAR ISLAND,,NC,28520,
,TRANSYLVANIA,CEDAR MOUNTAIN,,NC,28718,
,COLUMBUS,CERRO GORDO,,NC,28430,
,COLUMBUS,CHADBOURN,,NC,28431,
,ORANGE,CHAPEL HILL,,NC,27515,
,ORANGE,CHAPEL HILL,,NC,27516,
,ORANGE,CHAPEL HILL,,NC,27599,
,MECKLENBURG,CHARLOTTE,,NC,28201,
,MECKLENBURG,CHARLOTTE,,NC,28206,
,MECKLENBURG,CHARLOTTE,,NC,28210,
,MECKLENBURG,CHARLOTTE,,NC,28212,
,MECKLENBURG,CHARLOTTE,,NC,28213,
,MECKLENBURG,CHARLOTTE,,NC,28214,
,MECKLENBURG,CHARLOTTE,,NC,28215,
,MECKLENBURG,CHARLOTTE,,NC,28218,
,MECKLENBURG,CHARLOTTE,,NC,28219,
,MECKLENBURG,CHARLOTTE,,NC,28220,
,MECKLENBURG,CHARLOTTE,,NC,28221,
,MECKLENBURG,CHARLOTTE,,NC,28222,
,MECKLENBURG,CHARLOTTE,,NC,28224,
,MECKLENBURG,CHARLOTTE,,NC,28228,
,MECKLENBURG,CHARLOTTE,,NC,28229,
,MECKLENBURG,CHARLOTTE,,NC,28230,
,MECKLENBURG,CHARLOTTE,,NC,28231,
,MECKLENBURG,CHARLOTTE,,NC,28232,
,MECKLENBURG,CHARLOTTE,,NC,28233,
,MECKLENBURG,CHARLOTTE,,NC,28234,
,MECKLENBURG,CHARLOTTE,,NC,28235,
,MECKLENBURG,CHARLOTTE,,NC,28236,
,MECKLENBURG,CHARLOTTE,,NC,28237,
,MECKLENBURG,CHARLOTTE,,NC,28241,
,MECKLENBURG,CHARLOTTE,,NC,28247,
,MECKLENBURG,CHARLOTTE,,NC,28253,
,MECKLENBURG,CHARLOTTE,,NC,28254,
,MECKLENBURG,CHARLOTTE,,NC,28255,
,MECKLENBURG,CHARLOTTE,,NC,28256,
,MECKLENBURG,CHARLOTTE,,NC,28260,
,MECKLENBURG,CHARLOTTE,,NC,28263,
,MECKLENBURG,CHARLOTTE,,NC,28265,
,MECKLENBURG,CHARLOTTE,,NC,28266,
,MECKLENBURG,CHARLOTTE,,NC,28270,
,MECKLENBURG,CHARLOTTE,,NC,28271,
,MECKLENBURG,CHARLOTTE,,NC,28272,
,MECKLENBURG,CHARLOTTE,,NC,28274,
,MECKLENBURG,CHARLOTTE,,NC,28281,
,MECKLENBURG,CHARLOTTE,,NC,28282,
,MECKLENBURG,CHARLOTTE,,NC,28284,
,MECKLENBURG,CHARLOTTE,,NC,28285,
,MECKLENBURG,CHARLOTTE,,NC,28287,
,MECKLENBURG,CHARLOTTE,,NC,28288,
,MECKLENBURG,CHARLOTTE,,NC,28297,
,MECKLENBURG,CHARLOTTE,,NC,28299,
,SWAIN,CHEROKEE,,NC,28719,
,CRAVEN,CHERRY POINT,,NC,28533,
,GASTON,CHERRYVILLE,,NC,28021,
,RUTHERFORD,CHIMNEY ROCK,,NC,28720,
,ROWAN,CHINA GROVE,,NC,28023,
,DUPLIN,CHINQUAPIN,,NC,28521,
,BEAUFORT,CHOCOWINITY,,NC,27817,
,CATAWBA,CLAREMONT,,NC,28610,
,COLUMBUS,CLARENDON,,NC,28432,
,BLADEN,CLARKTON,,NC,28433,
,JOHNSTON,CLAYTON,,NC,27528,
,ROWAN,CLEVELAND,,NC,27013,
,RUTHERFORD,CLIFFSIDE,,NC,28024,
,GUILFORD,CLIMAX,,NC,27233,
,SAMPSON,CLINTON,,NC,28328,
,SAMPSON,CLINTON,,NC,28329,
,HAYWOOD,CLYDE,,NC,28721,
,HARNETT,COATS,,NC,27521,
,HERTFORD,COFIELD,,NC,27922,
,CURRITUCK,COINJOCK,,NC,27923,
,BERTIE,COLERAIN,,NC,27924,
,GUILFORD,COLFAX,,NC,27235,
,CALDWELL,COLLETTSVILLE,,NC,28611,
,TYRRELL,COLUMBIA,,NC,27925,
,POLK,COLUMBUS,,NC,28722,
,HERTFORD,COMO,,NC,27818,
,CABARRUS,CONCORD,,NC,28025,
,CABARRUS,CONCORD,,NC,28026,
,EDGECOMBE,CONETOE,,NC,27819,
,BURKE,CONNELLY SPRINGS,,NC,28612,
,CATAWBA,CONOVER,,NC,28613,
,NORTHAMPTON,CONWAY,,NC,27820,
,DAVIE,COOLEEMEE,,NC,27014,
,GATES,CORAPEAKE,,NC,27926,
,RICHMOND,CORDOVA,,NC,28330,
,BLADEN,COUNCIL,,NC,28434,
,CRAVEN,COVE CITY,,NC,28523,
,GASTON,CRAMERTON,,NC,28032,
,GRANVILLE,CREEDMOOR,,NC,27522,
,ASHE,CRESTON,,NC,28615,
,WASHINGTON,CRESWELL,,NC,27928,
,AVERY,CROSSNORE,,NC,28616,
,LINCOLN,CROUSE,,NC,28033,
,ASHE,CRUMPLER,,NC,28617,
,CUMBERLAND,CUMBERLAND,,NC,28331,
,LEE,CUMNOCK,,NC,27237,
,PENDER,CURRIE,,NC,28435,
,CURRITUCK,CURRITUCK,,NC,27929,
,HENDERSON,DANA,,NC,28724,
,STOKES,DANBURY,,NC,27016,
,MECKLENBURG,DAVIDSON,,NC,28035,
,CARTERET,DAVIS,,NC,28524,
,WATAUGA,DEEP GAP,,NC,28618,
,LENOIR,DEEP RUN,,NC,28525,
,COLUMBUS,DELCO,,NC,28436,
,DAVIDSON,DENTON,,NC,27239,
,LINCOLN,DENVER,,NC,28037,
,JACKSON,DILLSBORO,,NC,28725,
,SURRY,DOBSON,,NC,27017,
,CRAVEN,DOVER,,NC,28526,
,BURKE,DREXEL,,NC,28619,
,BLADEN,DUBLIN,,NC,28332,
,WAYNE,DUDLEY,,NC,28333,
,HARNETT,DUNN,,NC,28334,
,HARNETT,DUNN,,NC,28335,
,DURHAM,DURHAM,,NC,27701,
,DURHAM,DURHAM,,NC,27702,
,DURHAM,DURHAM,,NC,27704,
,DURHAM,DURHAM,,NC,27706,
,DURHAM,DURHAM,,NC,27708,
,DURHAM,DURHAM,,NC,27709,
,DURHAM,DURHAM,,NC,27710,
,DURHAM,DURHAM,,NC,27711,
,DURHAM,DURHAM,,NC,27712,
,DURHAM,DURHAM,,NC,27715,
,DURHAM,DURHAM,,NC,27717,
,DURHAM,DURHAM,,NC,27722,
,MOORE,EAGLE SPRINGS,,NC,27242,
,CLEVELAND,EARL,,NC,28038,
,YADKIN,EAST BEND,,NC,27018,
,HENDERSON,EAST FLAT ROCK,,NC,28726,
,ROWAN,EAST SPENCER,,NC,28039,
,ROCKINGHAM,EDEN,,NC,27288,
,ROCKINGHAM,EDEN,,NC,27289,
,CHOWAN,EDENTON,,NC,27932,
,HENDERSON,EDNEYVILLE,,NC,28727,
,BEAUFORT,EDWARD,,NC,27821,
,ORANGE,EFLAND,,NC,27243,
,PASQUOTANK,ELIZABETH CITY,,NC,27906,
,PASQUOTANK,ELIZABETH CITY,,NC,27907,
,BLADEN,ELIZABETHTOWN,,NC,28337,
